,0,1,2
0,1,0,0
24,0,0,1
1,0,1,0
1128,1,0,0
23,0,1,0
25,0,0,1
2,1,0,0
1129,0,0,1
26,0,1,0
3,1,0,0
1130,0,1,0
27,0,0,1
4,1,0,0
1131,0,0,1
28,0,1,0
5,1,0,0
1132,0,1,0
29,0,0,1
6,1,0,0
1133,0,0,1
30,0,1,0
7,1,0,0
1134,0,1,0
31,0,0,1
8,1,0,0
1135,0,0,1
32,0,1,0
9,1,0,0
1136,0,1,0
33,0,0,1
10,1,0,0
1137,0,0,1
34,0,1,0
11,1,0,0
1138,0,1,0
35,0,0,1
12,1,0,0
1139,0,0,1
36,0,1,0
13,1,0,0
1140,0,1,0
37,0,0,1
14,1,0,0
1141,0,0,1
38,0,1,0
15,1,0,0
1142,0,1,0
39,0,0,1
16,1,0,0
1143,0,0,1
40,0,1,0
17,1,0,0
1144,0,1,0
41,0,0,1
18,1,0,0
1145,0,0,1
42,0,1,0
19,1,0,0
1146,0,1,0
43,0,0,1
20,1,0,0
1147,0,0,1
44,0,1,0
21,1,0,0
1148,0,1,0
45,0,0,1
22,1,0,0
1149,0,0,1
46,0,1,0
1150,1,0,0
47,0,1,0
1151,0,0,1
48,1,0,0
49,0,0,1
50,0,1,0
51,1,0,0
52,0,1,0
53,0,0,1
54,1,0,0
55,0,0,1
56,0,1,0
57,1,0,0
58,0,1,0
59,0,0,1
60,1,0,0
61,0,0,1
62,0,1,0
63,1,0,0
64,0,1,0
65,0,0,1
66,1,0,0
67,0,0,1
68,0,1,0
69,1,0,0
70,0,1,0
71,0,0,1
72,1,0,0
73,0,0,1
74,0,1,0
75,1,0,0
76,0,1,0
77,0,0,1
78,1,0,0
79,0,0,1
80,0,1,0
81,1,0,0
82,0,1,0
83,0,0,1
84,1,0,0
85,0,0,1
86,0,1,0
87,1,0,0
88,0,1,0
89,0,0,1
90,1,0,0
91,0,0,1
92,0,1,0
93,1,0,0
94,0,1,0
95,0,0,1
96,1,0,0
97,0,0,1
98,0,1,0
99,1,0,0
100,0,1,0
101,0,0,1
102,1,0,0
103,0,0,1
104,0,1,0
105,1,0,0
106,0,1,0
107,0,0,1
108,1,0,0
109,0,0,1
110,0,1,0
111,1,0,0
112,0,1,0
113,0,0,1
114,1,0,0
115,0,0,1
116,0,1,0
117,1,0,0
118,0,1,0
119,0,0,1
120,1,0,0
121,0,0,1
122,0,1,0
123,1,0,0
124,0,1,0
125,0,0,1
126,1,0,0
127,0,0,1
128,0,1,0
129,1,0,0
130,0,1,0
131,0,0,1
132,1,0,0
133,0,0,1
134,0,1,0
135,1,0,0
136,0,1,0
137,0,0,1
138,1,0,0
139,0,0,1
140,0,1,0
141,1,0,0
142,0,1,0
143,0,0,1
144,1,0,0
145,0,0,1
146,0,1,0
147,1,0,0
148,0,1,0
149,0,0,1
150,1,0,0
151,0,0,1
152,0,1,0
153,1,0,0
154,0,1,0
155,0,0,1
156,1,0,0
157,0,0,1
158,0,1,0
159,1,0,0
160,0,1,0
161,0,0,1
162,1,0,0
163,0,0,1
164,0,1,0
165,1,0,0
166,0,1,0
167,0,0,1
168,1,0,0
169,0,0,1
170,0,1,0
171,1,0,0
172,0,1,0
173,0,0,1
174,1,0,0
175,0,0,1
176,0,1,0
177,1,0,0
178,0,1,0
179,0,0,1
180,1,0,0
181,0,0,1
182,0,1,0
183,1,0,0
184,0,1,0
185,0,0,1
186,1,0,0
187,0,0,1
188,0,1,0
189,1,0,0
190,0,1,0
191,0,0,1
192,1,0,0
193,0,0,1
194,0,1,0
195,1,0,0
196,0,1,0
197,0,0,1
198,1,0,0
199,0,0,1
200,0,1,0
201,1,0,0
202,0,1,0
203,0,0,1
204,1,0,0
205,0,0,1
206,0,1,0
207,1,0,0
208,0,1,0
209,0,0,1
210,1,0,0
211,0,0,1
212,0,1,0
213,1,0,0
214,0,1,0
215,0,0,1
216,1,0,0
217,0,0,1
218,0,1,0
219,1,0,0
220,0,1,0
221,0,0,1
222,1,0,0
223,0,0,1
224,0,1,0
225,1,0,0
226,0,1,0
227,0,0,1
228,1,0,0
229,0,0,1
230,0,1,0
231,1,0,0
232,0,1,0
233,0,0,1
234,1,0,0
235,0,0,1
236,0,1,0
237,1,0,0
238,0,1,0
239,0,0,1
240,1,0,0
241,0,0,1
242,0,1,0
243,1,0,0
244,0,1,0
245,0,0,1
246,1,0,0
247,0,0,1
248,0,1,0
249,1,0,0
250,0,1,0
251,0,0,1
252,1,0,0
253,0,0,1
254,0,1,0
255,1,0,0
256,0,1,0
257,0,0,1
258,1,0,0
259,0,0,1
260,0,1,0
261,1,0,0
262,0,1,0
263,0,0,1
264,1,0,0
265,0,0,1
266,0,1,0
267,1,0,0
268,0,1,0
269,0,0,1
270,1,0,0
271,0,0,1
272,0,1,0
273,1,0,0
274,0,1,0
275,0,0,1
276,1,0,0
277,0,0,1
278,0,1,0
279,1,0,0
280,0,1,0
281,0,0,1
282,1,0,0
283,0,0,1
284,0,1,0
285,1,0,0
286,0,1,0
287,0,0,1
288,1,0,0
289,0,0,1
290,0,1,0
291,1,0,0
292,0,1,0
293,0,0,1
294,1,0,0
295,0,0,1
296,0,1,0
297,1,0,0
298,0,1,0
299,0,0,1
300,1,0,0
301,0,0,1
302,0,1,0
303,1,0,0
304,0,1,0
305,0,0,1
306,1,0,0
307,0,0,1
308,0,1,0
309,1,0,0
310,0,1,0
311,0,0,1
312,1,0,0
313,0,0,1
314,0,1,0
315,1,0,0
316,0,1,0
317,0,0,1
318,1,0,0
319,0,0,1
320,0,1,0
321,1,0,0
322,0,1,0
323,0,0,1
324,1,0,0
325,0,0,1
326,0,1,0
327,1,0,0
328,0,1,0
329,0,0,1
330,1,0,0
331,0,0,1
332,0,1,0
333,1,0,0
334,0,1,0
335,0,0,1
336,1,0,0
337,0,0,1
338,0,1,0
339,1,0,0
340,0,1,0
341,0,0,1
342,1,0,0
343,0,0,1
344,0,1,0
345,1,0,0
346,0,1,0
