,degs,clos,betw,eigen
entrez gene/locuslink:853056,0.0243,0.2729,0.0004,0.0032
entrez gene/locuslink:850930,0.0686,0.3022,0.0007,0.0101
entrez gene/locuslink:854123,0.0708,0.3165,0.002,0.0212
entrez gene/locuslink:856771,0.0354,0.3064,0.0003,0.0087
entrez gene/locuslink:851205,0.0996,0.3517,0.0023,0.0614
entrez gene/locuslink:851882,0.0221,0.268,0.0001,0.0012
entrez gene/locuslink:854540,0.0243,0.2871,0.0002,0.0042
entrez gene/locuslink:855599,0.0199,0.2755,0.0005,0.0014
entrez gene/locuslink:850693,0.0088,0.2518,0.0,0.001
entrez gene/locuslink:851455,0.0221,0.3002,0.0001,0.0072
entrez gene/locuslink:851453,0.0111,0.2489,0.0,0.0008
entrez gene/locuslink:851174,0.0088,0.2491,0.0,0.0004
entrez gene/locuslink:854985,0.0354,0.3013,0.0004,0.0076
entrez gene/locuslink:852462,0.0265,0.3085,0.0008,0.0094
entrez gene/locuslink:851549,0.1128,0.3427,0.0044,0.0327
entrez gene/locuslink:856760,0.0066,0.249,0.0,0.0008
entrez gene/locuslink:851916,0.0332,0.3045,0.0003,0.0128
entrez gene/locuslink:854443,0.1195,0.3386,0.0029,0.0559
entrez gene/locuslink:852122,0.3894,0.3544,0.0274,0.0442
entrez gene/locuslink:855075,0.1549,0.3386,0.002,0.0742
entrez gene/locuslink:851847,0.0044,0.2412,0.0,0.0003
entrez gene/locuslink:851495,0.1084,0.3221,0.0023,0.0213
entrez gene/locuslink:852939,0.0376,0.2912,0.0002,0.0058
entrez gene/locuslink:852200,0.0796,0.3225,0.0051,0.0186
entrez gene/locuslink:855741,0.0221,0.3007,0.0006,0.0069
entrez gene/locuslink:853876,0.0332,0.277,0.0002,0.002
entrez gene/locuslink:852369,0.0199,0.2763,0.0005,0.0027
entrez gene/locuslink:852457,0.5376,0.3722,0.0308,0.0988
entrez gene/locuslink:852432,0.0398,0.3143,0.001,0.0091
entrez gene/locuslink:853942,0.0265,0.3019,0.0013,0.0054
entrez gene/locuslink:852556,0.0199,0.2414,0.0004,0.0003
entrez gene/locuslink:851579,0.031,0.275,0.0001,0.0063
entrez gene/locuslink:852819,0.0354,0.2906,0.0003,0.0089
entrez gene/locuslink:851672,0.031,0.2977,0.0012,0.0047
entrez gene/locuslink:852652,0.0111,0.2438,0.0004,0.0004
entrez gene/locuslink:851718,0.0133,0.2437,0.0004,0.0002
entrez gene/locuslink:855782,0.031,0.3021,0.0015,0.0061
entrez gene/locuslink:851740,0.0664,0.3132,0.0005,0.0144
entrez gene/locuslink:851558,0.0686,0.3328,0.0011,0.0253
entrez gene/locuslink:851782,0.0819,0.3172,0.0007,0.0411
entrez gene/locuslink:853958,0.0819,0.3113,0.0005,0.0384
entrez gene/locuslink:856522,0.0088,0.221,0.0,0.0001
entrez gene/locuslink:851860,0.0111,0.2432,0.0002,0.0004
entrez gene/locuslink:852057,0.0288,0.3026,0.0004,0.0129
entrez gene/locuslink:850485,0.0243,0.2909,0.0008,0.0029
entrez gene/locuslink:855120,0.0221,0.2763,0.0002,0.0016
entrez gene/locuslink:855383,0.0199,0.2803,0.0003,0.0018
entrez gene/locuslink:855382,0.0111,0.281,0.0001,0.0023
entrez gene/locuslink:853909,0.0442,0.3045,0.0002,0.0158
entrez gene/locuslink:852638,0.0199,0.3124,0.0007,0.0091
entrez gene/locuslink:852723,0.0066,0.2789,0.0,0.0016
entrez gene/locuslink:853845,0.0487,0.3318,0.0006,0.0284
entrez gene/locuslink:853967,0.042,0.3275,0.0008,0.0217
entrez gene/locuslink:851091,0.0199,0.2678,0.0004,0.0015
entrez gene/locuslink:854674,0.0177,0.2757,0.0002,0.0017
entrez gene/locuslink:854016,0.0509,0.2967,0.0018,0.0052
entrez gene/locuslink:854338,0.0199,0.2911,0.0002,0.0033
entrez gene/locuslink:853567,0.0088,0.29,0.0,0.0051
entrez gene/locuslink:852241,0.0155,0.3026,0.0,0.007
entrez gene/locuslink:855194,0.0111,0.2601,0.0,0.0011
entrez gene/locuslink:852518,0.0265,0.2829,0.0005,0.0035
entrez gene/locuslink:853896,0.0199,0.2793,0.0002,0.0019
entrez gene/locuslink:852573,0.0332,0.3162,0.0004,0.0188
entrez gene/locuslink:852676,0.042,0.286,0.0001,0.0051
entrez gene/locuslink:851657,0.0133,0.2833,0.0001,0.0021
entrez gene/locuslink:851142,0.25,0.3511,0.013,0.0569
entrez gene/locuslink:851846,0.0996,0.3406,0.0026,0.0522
entrez gene/locuslink:853147,0.0243,0.2705,0.0,0.004
entrez gene/locuslink:852003,0.0398,0.2861,0.0001,0.0082
entrez gene/locuslink:852084,0.0288,0.2994,0.0004,0.0036
entrez gene/locuslink:856307,0.0265,0.2785,0.0002,0.0014
entrez gene/locuslink:851034,0.031,0.2968,0.0005,0.0044
entrez gene/locuslink:852090,0.0973,0.3083,0.0032,0.0072
entrez gene/locuslink:856700,0.0575,0.3278,0.0012,0.0139
entrez gene/locuslink:853654,0.0575,0.325,0.0011,0.0217
entrez gene/locuslink:856836,0.0133,0.2793,0.0,0.0044
entrez gene/locuslink:854093,0.0354,0.2857,0.0001,0.0065
entrez gene/locuslink:853606,0.0354,0.3035,0.0008,0.0084
entrez gene/locuslink:856886,0.0332,0.3003,0.001,0.0074
entrez gene/locuslink:855048,0.1372,0.3363,0.0032,0.0329
entrez gene/locuslink:856887,0.0199,0.3098,0.0007,0.0062
entrez gene/locuslink:850897,0.0752,0.3184,0.0007,0.0335
entrez gene/locuslink:850521,0.208,0.3499,0.0053,0.0813
entrez gene/locuslink:855276,0.0243,0.2945,0.0003,0.004
entrez gene/locuslink:852766,0.0376,0.2709,0.0001,0.0026
entrez gene/locuslink:855463,0.0288,0.2733,0.0001,0.0026
entrez gene/locuslink:852732,0.0376,0.2964,0.0002,0.0189
entrez gene/locuslink:852715,0.0265,0.317,0.0003,0.0102
entrez gene/locuslink:851039,0.0177,0.2916,0.0001,0.0028
entrez gene/locuslink:852893,0.0088,0.2749,0.0,0.0017
entrez gene/locuslink:853409,0.0575,0.3147,0.0014,0.0097
entrez gene/locuslink:853016,0.0752,0.3202,0.0015,0.0173
entrez gene/locuslink:854809,0.0111,0.274,0.0005,0.0018
entrez gene/locuslink:856511,0.0619,0.3287,0.0028,0.0206
entrez gene/locuslink:855339,0.0553,0.3187,0.0005,0.0309
entrez gene/locuslink:856530,0.0155,0.2711,0.0,0.0038
entrez gene/locuslink:856576,0.0133,0.2581,0.0001,0.001
entrez gene/locuslink:854284,0.2102,0.3527,0.0058,0.0975
entrez gene/locuslink:854810,0.031,0.2835,0.0001,0.0062
entrez gene/locuslink:856076,1.0,0.3954,0.0767,0.163
entrez gene/locuslink:854761,0.0088,0.2977,0.0,0.0069
entrez gene/locuslink:850962,0.0664,0.3427,0.0021,0.0277
entrez gene/locuslink:853304,0.0111,0.3091,0.0001,0.008
entrez gene/locuslink:853255,0.0265,0.3034,0.0005,0.0162
entrez gene/locuslink:853566,0.0177,0.2579,0.0001,0.0019
entrez gene/locuslink:856105,0.0199,0.2603,0.0001,0.0023
entrez gene/locuslink:853868,0.0398,0.3007,0.0006,0.0164
entrez gene/locuslink:856858,0.0044,0.2439,0.0,0.0005
entrez gene/locuslink:853861,0.0863,0.3176,0.0018,0.0181
entrez gene/locuslink:855344,0.0111,0.2622,0.0,0.0011
entrez gene/locuslink:850872,0.0288,0.274,0.0003,0.0018
entrez gene/locuslink:854295,0.0221,0.2744,0.0001,0.0013
entrez gene/locuslink:850430,0.0354,0.298,0.0011,0.0043
entrez gene/locuslink:850431,0.0088,0.2769,0.0,0.0018
entrez gene/locuslink:852952,0.0044,0.2518,0.0,0.0007
entrez gene/locuslink:851102,0.0398,0.2958,0.0008,0.0044
entrez gene/locuslink:852017,0.0066,0.2416,0.0,0.0002
entrez gene/locuslink:854345,0.0332,0.2893,0.0003,0.0041
entrez gene/locuslink:852750,0.031,0.3011,0.0005,0.0048
entrez gene/locuslink:850427,0.0221,0.2696,0.0001,0.0014
entrez gene/locuslink:855349,0.0088,0.2842,0.0002,0.0031
entrez gene/locuslink:850501,0.0044,0.2354,0.0,0.0002
entrez gene/locuslink:854188,0.0221,0.2834,0.0001,0.0042
entrez gene/locuslink:850443,0.0111,0.2587,0.0,0.0031
entrez gene/locuslink:855117,0.0288,0.3026,0.0003,0.0065
entrez gene/locuslink:850792,0.0199,0.3069,0.0001,0.0096
entrez gene/locuslink:853990,0.0288,0.3209,0.0004,0.018
entrez gene/locuslink:850998,0.427,0.3516,0.0342,0.0286
entrez gene/locuslink:852860,0.0929,0.3305,0.001,0.0475
entrez gene/locuslink:855638,0.073,0.3081,0.0012,0.0221
entrez gene/locuslink:856315,0.0332,0.3058,0.0003,0.0091
entrez gene/locuslink:852695,0.5243,0.3742,0.0187,0.1469
entrez gene/locuslink:853168,0.0265,0.2913,0.0001,0.0046
entrez gene/locuslink:853017,0.0841,0.3207,0.0017,0.0256
entrez gene/locuslink:855954,0.0221,0.2724,0.0003,0.0024
entrez gene/locuslink:855869,0.0022,0.2239,0.0,0.0001
entrez gene/locuslink:853723,0.0265,0.2885,0.0006,0.0028
entrez gene/locuslink:856367,0.0133,0.3018,0.0001,0.0119
