From	To	Species	Gene Name\
ENSG00000180016	8387	Homo sapiens	olfactory receptor family 1 subfamily E member 1(OR1E1)\
ENSG00000215203	389207	Homo sapiens	glutaredoxin and cysteine rich domain containing 1(GRXCR1)\
ENSG00000179029	84314	Homo sapiens	transmembrane protein 107(TMEM107)\
ENSG00000179023	127707	Homo sapiens	kelch domain containing 7A(KLHDC7A)\
ENSG00000180011	284273	Homo sapiens	zinc binding alcohol dehydrogenase domain containing 2(ZADH2)\
ENSG00000156384	119392	Homo sapiens	SWI5 dependent homologous recombination repair protein 1(SFR1)\
ENSG00000205883	613209	Homo sapiens	defensin beta 135(DEFB135)\
ENSG00000254806	767557	Homo sapiens	SYS1-DBNDD2 readthrough (NMD candidate)(SYS1-DBNDD2)\
ENSG00000205882	613211	Homo sapiens	defensin beta 134(DEFB134)\
ENSG00000131089	23229	Homo sapiens	Cdc42 guanine nucleotide exchange factor 9(ARHGEF9)\
ENSG00000170689	3219	Homo sapiens	homeobox B9(HOXB9)\
ENSG00000013810	10460	Homo sapiens	transforming acidic coiled-coil containing protein 3(TACC3)\
ENSG00000229859	643834	Homo sapiens	pepsinogen 3, group I (pepsinogen A)(PGA3)\
ENSG00000205884	613210	Homo sapiens	defensin beta 136(DEFB136)\
ENSG00000131080	60401	Homo sapiens	ectodysplasin A2 receptor(EDA2R)\
ENSG00000168374	378	Homo sapiens	ADP ribosylation factor 4(ARF4)\
ENSG00000155052	129684	Homo sapiens	contactin associated protein like 5(CNTNAP5)\
ENSG00000179021	285237	Homo sapiens	chromosome 3 open reading frame 38(C3orf38)\
ENSG00000156381	122416	Homo sapiens	ankyrin repeat domain 9(ANKRD9)\
ENSG00000182685	283870	Homo sapiens	BRICHOS domain containing 5(BRICD5)\
ENSG00000182687	8811	Homo sapiens	galanin receptor 2(GALR2)\
ENSG00000143079	55917	Homo sapiens	CTTNBP2 N-terminal like(CTTNBP2NL)\
ENSG00000180008	122809	Homo sapiens	suppressor of cytokine signaling 4(SOCS4)\
ENSG00000025800	23633	Homo sapiens	karyopherin subunit alpha 6(KPNA6)\
ENSG00000181355	107983965	Homo sapiens	orofacial cleft 1 candidate gene 1 protein-like(LOC107983965)\
ENSG00000143061	3321	Homo sapiens	immunoglobulin superfamily member 3(IGSF3)\
ENSG00000156374	84108	Homo sapiens	polycomb group ring finger 6(PCGF6)\
ENSG00000131096	5697	Homo sapiens	peptide YY(PYY)\
ENSG00000181350	388341	Homo sapiens	leucine rich repeat containing 75A(LRRC75A)\
