,0,1,2
0,1,0,0
25,0,0,1
5,0,0,0
1,0,1,0
26,1,0,0
6,0,0,1
2,0,1,0
27,0,0,1
7,1,0,0
3,0,1,0
28,0,0,0
8,0,0,1
4,1,0,0
29,0,0,1
9,0,0,0
30,0,1,0
10,1,0,0
31,0,0,1
11,0,1,0
32,0,0,1
12,1,0,0
33,0,1,0
13,0,0,0
34,0,0,1
14,1,0,0
35,0,0,1
15,0,0,0
36,0,1,0
16,1,0,0
37,0,0,1
17,0,1,0
38,0,0,1
18,1,0,0
39,0,1,0
19,0,0,0
40,0,0,1
20,1,0,0
41,0,0,1
21,0,0,0
42,0,1,0
22,1,0,0
43,0,0,1
23,0,1,0
44,0,0,1
24,1,0,0
45,0,1,0
46,0,0,0
47,0,0,1
48,1,0,0
49,0,0,1
50,0,0,0
51,0,1,0
52,1,0,0
53,0,0,1
54,0,1,0
55,0,0,1
56,1,0,0
57,0,1,0
58,0,0,0
59,0,0,1
60,1,0,0
61,0,0,1
62,0,0,0
63,0,1,0
64,1,0,0
65,0,0,1
66,0,1,0
67,0,0,1
68,1,0,0
69,0,1,0
70,0,0,0
71,0,0,1
72,1,0,0
73,0,0,1
74,0,0,0
75,0,1,0
76,1,0,0
77,0,0,1
78,0,1,0
79,0,0,1
80,1,0,0
81,0,1,0
82,0,0,0
83,0,0,1
84,1,0,0
85,0,0,1
86,0,0,0
87,0,1,0
88,1,0,0
89,0,0,1
90,0,1,0
91,0,0,1
92,1,0,0
93,0,1,0
94,0,0,0
95,0,0,1
96,1,0,0
97,0,0,1
98,0,0,0
99,0,1,0
100,1,0,0
101,0,0,1
102,0,1,0
103,0,0,1
104,1,0,0
105,0,1,0
106,0,0,0
107,0,0,1
108,1,0,0
109,0,0,1
110,0,0,0
111,0,1,0
112,1,0,0
113,0,0,1
114,0,1,0
115,0,0,1
116,1,0,0
117,0,1,0
118,0,0,0
119,0,0,1
120,1,0,0
121,0,0,1
122,0,0,0
123,0,1,0
124,1,0,0
