,0,1,2
330,1,0,0
2935,0,0,1
7187,0,1,0
10456,1,0,0
7322,0,1,0
1956,0,0,1
2932,1,0,0
23352,0,0,1
9641,0,1,0
8737,1,0,0
7321,0,1,0
331,0,0,1
57506,1,0,0
81858,0,0,1
841,0,1,0
7189,1,0,0
7341,0,1,0
8239,0,0,1
7124,1,0,0
8517,0,0,1
7332,0,1,0
51035,1,0,0
836,0,1,0
5894,0,0,1
7132,1,0,0
26999,0,0,1
329,0,1,0
834,1,0,0
221937,0,1,0
66008,0,0,1
10320,1,0,0
84557,0,0,1
191,0,1,0
9882,1,0,0
202333,0,1,0
2874,0,0,1
3054,1,0,0
7157,0,0,1
55031,0,1,0
10277,1,0,0
7168,0,1,0
116138,0,0,1
7408,1,0,0
4914,0,0,1
23382,0,1,0
25942,1,0,0
1856,0,1,0
10419,0,0,1
3065,1,0,0
5931,0,0,1
7431,0,1,0
7529,1,0,0
81631,0,1,0
10054,0,0,1
7514,1,0,0
402415,0,0,1
26043,0,1,0
23172,1,0,0
55715,0,1,0
55872,0,0,1
10768,1,0,0
9531,0,0,1
5747,0,1,0
23028,1,0,0
84078,0,1,0
2064,0,0,1
1994,1,0,0
6714,0,0,1
2107,0,1,0
26986,1,0,0
23708,0,1,0
5515,0,0,1
9939,1,0,0
8882,0,0,1
6059,0,1,0
988,1,0,0
22938,0,1,0
5976,0,0,1
23049,1,0,0
7412,0,0,1
10726,0,1,0
9559,1,0,0
23168,0,1,0
5708,0,0,1
3725,1,0,0
11017,0,0,1
2244,0,1,0
197131,1,0,0
8454,0,1,0
8453,0,0,1
7428,1,0,0
8452,0,0,1
55666,0,1,0
7415,1,0,0
7353,0,1,0
9373,0,0,1
3091,1,0,0
254065,0,0,1
23304,0,1,0
8450,1,0,0
6500,0,1,0
84861,0,0,1
267,1,0,0
80232,0,0,1
8451,0,1,0
6923,1,0,0
9867,0,1,0
54014,0,0,1
59349,1,0,0
23588,0,0,1
90293,0,1,0
9978,1,0,0
51366,0,1,0
10210,0,0,1
9730,1,0,0
6921,0,0,1
4738,0,1,0
7314,1,0,0
25948,0,1,0
55717,0,0,1
6613,1,0,0
250,0,0,1
54949,0,1,0
9406,1,0,0
6817,0,1,0
5887,0,0,1
9296,1,0,0
23170,0,0,1
11065,0,1,0
10101,1,0,0
10413,0,1,0
7347,0,0,1
7791,1,0,0
10534,0,0,1
140809,0,1,0
54878,1,0,0
7320,0,1,0
54585,0,0,1
54888,1,0,0
84936,0,0,1
10484,0,1,0
5019,1,0,0
7298,0,1,0
7336,0,0,1
51569,1,0,0
51506,0,0,1
9736,0,1,0
351,1,0,0
526,0,1,0
4214,0,0,1
83795,1,0,0
114781,0,0,1
81788,0,1,0
80854,1,0,0
1477,0,1,0
1454,0,0,1
80124,1,0,0
2071,0,0,1
79058,0,1,0
10712,1,0,0
79065,0,1,0
157769,0,0,1
253980,1,0,0
90655,0,0,1
54778,0,1,0
127428,1,0,0
9643,0,1,0
23197,0,0,1
23,1,0,0
23008,0,0,1
55968,0,1,0
7126,1,0,0
26953,0,1,0
1161,0,0,1
55023,1,0,0
11124,0,0,1
5454,0,1,0
84295,1,0,0
57154,0,1,0
84129,0,0,1
83892,1,0,0
1456,0,0,1
51444,0,1,0
3839,1,0,0
3833,0,1,0
7015,0,0,1
3308,1,0,0
10728,0,0,1
10445,0,1,0
25,1,0,0
3320,0,1,0
10971,0,0,1
207,1,0,0
7534,0,0,1
8607,0,1,0
5371,1,0,0
2475,0,1,0
10273,0,0,1
10537,1,0,0
3303,0,0,1
22948,0,1,0
6597,1,0,0
10014,0,1,0
2033,0,0,1
8841,1,0,0
9869,0,0,1
2801,0,1,0
5595,1,0,0
11030,0,1,0
211,0,0,1
441518,1,0,0
4343,0,0,1
7456,0,1,0
10617,1,0,0
1026,0,1,0
54535,0,0,1
10482,1,0,0
5493,0,0,1
29766,0,1,0
5469,1,0,0
2623,0,1,0
9282,0,0,1
9967,1,0,0
6871,0,0,1
9444,0,1,0
5347,1,0,0
367,0,1,0
672,0,0,1
7533,1,0,0
5468,0,0,1
2100,0,1,0
9440,1,0,0
6418,0,1,0
322,0,0,1
8125,1,0,0
121504,0,0,1
4830,0,1,0
57599,1,0,0
999,0,1,0
8412,0,0,1
5564,1,0,0
3106,0,0,1
1457,0,1,0
2113,1,0,0
2353,0,1,0
891,0,0,1
2597,1,0,0
9768,0,0,1
801,0,1,0
2335,1,0,0
23411,0,1,0
6657,0,0,1
10944,1,0,0
2495,0,0,1
6386,0,1,0
5071,1,0,0
4223,0,1,0
10923,0,0,1
10155,1,0,0
373,0,0,1
6146,0,1,0
983,1,0,0
1665,0,1,0
10576,0,0,1
23435,1,0,0
9061,0,0,1
3416,0,1,0
5594,1,0,0
1387,0,1,0
2002,0,0,1
4087,1,0,0
3064,0,0,1
6776,0,1,0
5499,1,0,0
7169,0,1,0
6774,0,0,1
283237,1,0,0
6623,0,0,1
4155,0,1,0
8878,1,0,0
8697,0,1,0
6886,0,0,1
11075,1,0,0
4067,0,0,1
6667,0,1,0
708,1,0,0
9759,0,1,0
6689,0,0,1
5867,1,0,0
409,0,0,1
10935,0,1,0
11051,1,0,0
171017,0,1,0
128239,0,0,1
3842,1,0,0
6935,0,0,1
5928,0,1,0
6601,1,0,0
8289,0,1,0
1499,0,0,1
4212,1,0,0
22929,0,0,1
8554,0,1,0
3315,1,0,0
6602,0,1,0
387680,0,0,1
60529,1,0,0
1459,0,0,1
6598,0,1,0
10541,1,0,0
81611,0,1,0
6599,0,0,1
5451,1,0,0
9733,0,0,1
29882,0,1,0
23499,1,0,0
51343,0,1,0
301,0,0,1
65082,1,0,0
339287,0,0,1
10527,0,1,0
5089,1,0,0
57616,0,1,0
2298,0,0,1
23650,1,0,0
573,0,0,1
2647,0,1,0
51019,1,0,0
26258,0,1,0
23557,0,0,1
55330,1,0,0
282991,0,0,1
4851,0,1,0
5764,1,0,0
